area,kind,contents_size,entry_count,byte_count
436,"Contents","Cs_512_plus",17418,337432967
441,"Inode_nonroot_tree","Na",4699501,1602419415
434,"Contents","Cs_0_31",2719196,106936412
441,"Commit","Na",8201,905723
429,"Inode_root_values","Na",3069338,370899209
429,"Inode_nonroot_values","Na",2265732,682848649
437,"Contents","Cs_0_31",2741754,107603399
443,"Inode_root_tree","Na",237982,85054261
438,"Inode_root_tree","Na",217346,77435488
433,"Contents","Cs_0_31",2808987,110952869
431,"Commit","Na",8204,904902
431,"Contents","Cs_32_127",223862,23350094
442,"Inode_root_values","Na",3016372,368873258
431,"Contents","Cs_512_plus",19778,332451897
434,"Inode_root_values","Na",2903824,356906473
429,"Contents","Cs_0_31",2842412,112061014
432,"Inode_root_tree","Na",197269,70412824
440,"Contents","Cs_128_511",76362,19268152
439,"Contents","Cs_0_31",2879620,113796368
431,"Contents","Cs_0_31",2741680,107978921
440,"Commit","Na",8201,905126
432,"Contents","Cs_32_127",264347,27649911
435,"Inode_root_tree","Na",205620,73482553
433,"Inode_nonroot_tree","Na",4300416,1461151956
435,"Inode_root_values","Na",3035708,365361332
443,"Contents","Cs_128_511",64991,16269909
428,"Inode_nonroot_tree","Na",3971740,1341018869
437,"Inode_nonroot_tree","Na",3999583,1358346010
438,"Inode_root_values","Na",3161565,382575761
427,"Inode_root_values","Na",5116981,367208533
432,"Contents","Cs_0_31",2743027,108528864
432,"Commit","Na",8201,904222
435,"Inode_nonroot_tree","Na",4345108,1479066304
432,"Inode_nonroot_tree","Na",4112907,1394089527
437,"Commit","Na",8202,904656
434,"Commit","Na",8200,904132
443,"Inode_root_values","Na",3186078,380977904
431,"Inode_root_tree","Na",199411,71146230
433,"Commit","Na",8202,904697
443,"Commit","Na",8198,906123
437,"Inode_root_tree","Na",199780,71241418
434,"Inode_root_tree","Na",194959,69608964
436,"Inode_nonroot_tree","Na",4423988,1503154295
436,"Inode_nonroot_values","Na",2367166,749756646
440,"Inode_root_values","Na",3138500,375855088
444,"Inode_nonroot_values","Na",2548558,725033244
428,"Contents","Cs_128_511",71761,17958897
444,"Contents","Cs_512_plus",23759,302424289
438,"Inode_nonroot_values","Na",2454436,800999565
427,"Contents","Cs_0_31",2950666,136790213
443,"Inode_nonroot_tree","Na",4821998,1643273361
433,"Inode_nonroot_values","Na",2298658,721819237
428,"Inode_root_tree","Na",198868,70881545
439,"Inode_root_tree","Na",229454,81824557
430,"Inode_nonroot_values","Na",1881660,537780847
439,"Inode_nonroot_values","Na",2469105,831202161
437,"Contents","Cs_32_127",189014,20042209
430,"Contents","Cs_0_31",2551084,100449769
438,"Inode_nonroot_tree","Na",4501093,1534020320
443,"Contents","Cs_512_plus",24593,346632704
440,"Contents","Cs_32_127",266685,29100002
431,"Contents","Cs_128_511",64510,16066150
442,"Commit","Na",8204,904612
435,"Commit","Na",8203,904715
427,"Inode_root_tree","Na",2483,809194
430,"Inode_nonroot_tree","Na",3644752,1230881083
444,"Contents","Cs_0_31",2822685,111172813
436,"Inode_root_tree","Na",221037,78919811
443,"Contents","Cs_0_31",2968000,116880508
434,"Inode_nonroot_tree","Na",4086610,1387376558
427,"Inode_nonroot_values","Na",3122574,902584961
433,"Inode_root_values","Na",3041647,364942053
434,"Contents","Cs_512_plus",15494,321623261
444,"Contents","Cs_32_127",216004,23066982
440,"Inode_nonroot_tree","Na",4610464,1576031720
441,"Inode_root_values","Na",3271141,386365324
433,"Contents","Cs_32_127",291102,30394671
427,"Contents","Cs_128_511",294231,75729849
442,"Contents","Cs_128_511",61152,15433920
427,"Inode_nonroot_tree","Na",118773,38196952
437,"Inode_root_values","Na",2912765,360146461
429,"Commit","Na",8203,905263
435,"Contents","Cs_512_plus",14386,315979183
441,"Contents","Cs_512_plus",29238,326990422
430,"Contents","Cs_512_plus",16404,334356559
444,"Contents","Cs_128_511",76983,19872384
438,"Commit","Na",8200,905412
432,"Contents","Cs_512_plus",16563,313645028
441,"Contents","Cs_128_511",74479,18864804
436,"Contents","Cs_0_31",2905412,114391544
439,"Contents","Cs_512_plus",16716,330194944
427,"Commit","Na",1,66
444,"Inode_nonroot_tree","Na",4414668,1506212075
439,"Inode_nonroot_tree","Na",4524198,1546099196
427,"Contents","Cs_512_plus",8847,14197785
429,"Contents","Cs_32_127",235579,24350561
435,"Contents","Cs_0_31",2828900,111638281
434,"Contents","Cs_32_127",223849,23590668
439,"Commit","Na",8201,905280
430,"Contents","Cs_32_127",193857,20070240
429,"Contents","Cs_128_511",75646,19054043
442,"Inode_nonroot_values","Na",2517187,741309011
442,"Inode_nonroot_tree","Na",4372879,1489513488
432,"Inode_root_values","Na",2994055,362039897
443,"Inode_nonroot_values","Na",2865015,890400647
427,"Contents","Cs_32_127",3074797,297088996
429,"Inode_root_tree","Na",210480,75085375
434,"Inode_nonroot_values","Na",2155786,664388590
430,"Inode_root_values","Na",2760841,344417518
428,"Contents","Cs_32_127",239200,24642320
440,"Contents","Cs_512_plus",17140,337964875
444,"Inode_root_values","Na",3081015,376443437
430,"Commit","Na",8201,903334
439,"Contents","Cs_32_127",265903,29038225
433,"Contents","Cs_128_511",57685,14330956
442,"Contents","Cs_512_plus",23004,325379029
434,"Contents","Cs_128_511",56726,14258535
431,"Inode_nonroot_values","Na",2158981,620315603
440,"Contents","Cs_0_31",2905714,114874772
438,"Contents","Cs_32_127",256637,28039179
441,"Inode_root_tree","Na",256710,91519399
438,"Contents","Cs_512_plus",18632,346489943
429,"Contents","Cs_512_plus",21714,340299959
435,"Contents","Cs_128_511",60095,15060681
428,"Inode_nonroot_values","Na",2099002,630910513
433,"Inode_root_tree","Na",205305,73314377
428,"Contents","Cs_0_31",2714389,107161665
441,"Contents","Cs_0_31",3040632,119998470
428,"Contents","Cs_512_plus",21201,327243142
431,"Inode_nonroot_tree","Na",4046110,1365803667
442,"Inode_root_tree","Na",235529,84117203
437,"Inode_nonroot_values","Na",2108370,613495351
438,"Contents","Cs_0_31",2953351,116683280
439,"Contents","Cs_128_511",71463,18251974
444,"Commit","Na",8204,904911
436,"Contents","Cs_32_127",250463,26487706
430,"Contents","Cs_128_511",56242,14198736
435,"Contents","Cs_32_127",276186,28661578
444,"Inode_root_tree","Na",236451,84353717
428,"Commit","Na",8203,904041
437,"Contents","Cs_512_plus",22185,365025029
436,"Contents","Cs_128_511",65735,16762487
441,"Contents","Cs_32_127",253176,27101391
440,"Inode_root_tree","Na",243289,86786872
432,"Contents","Cs_128_511",60848,15167383
430,"Inode_root_tree","Na",173257,61796200
438,"Contents","Cs_128_511",71783,18417622
433,"Contents","Cs_512_plus",14651,329458398
442,"Contents","Cs_32_127",222645,23868550
440,"Inode_nonroot_values","Na",2539723,851003276
436,"Inode_root_values","Na",3074735,370289148
428,"Inode_root_values","Na",2963347,358442503
436,"Commit","Na",8201,905573
429,"Inode_nonroot_tree","Na",4222937,1425400832
442,"Contents","Cs_0_31",2791194,109790810
443,"Contents","Cs_32_127",275977,29839440
437,"Contents","Cs_128_511",61266,15831971
435,"Inode_nonroot_values","Na",2314805,766179751
431,"Inode_root_values","Na",2960234,362241812
441,"Inode_nonroot_values","Na",2782648,900612391
439,"Inode_root_values","Na",3106488,374847288
432,"Inode_nonroot_values","Na",2194255,645947743
