parent_cycle_start,entry_area,path,kind,node_length,contents_size,count,bytes,indirect_count,direct_count,direct_bytes
432,431,/data/cycle/*/*/*,"Contents","Na","Cs_32_127",128,12159,0,0,0
439,434,/data/big_maps/*/*,"Inode_root_values","Nl_0_32","Na",1419,113410,5666,0,0
440,437,/data/big_maps/*/*/*,"Inode_nonroot_values","Nl_33_256","Na",4888,982586,5933,9955,647075
441,437,/data/active_delegates_with_rolls/*,"Inode_nonroot_values","Nl_257_2048","Na",1,113,7,0,0
438,437,/data/big_maps/*/*/*/*/*,"Contents","Na","Cs_512_plus",219,372461,0,0,0
438,437,/data/contracts/*/*/*/*,"Contents","Na","Cs_512_plus",394,484532,0,0,0
442,428,/data/contracts/*/*/*,"Inode_nonroot_values","Nl_33_256","Na",2215,504359,0,7840,352800
440,432,/data/commitments,"Inode_nonroot_values","Nl_2049_16384","Na",2,373,0,6,246
435,428,/data/big_maps/*/*/*,"Inode_nonroot_values","Nl_33_256","Na",31654,4557924,65423,36070,2344550
431,430,/data/big_maps/*/*/*,"Inode_root_tree","Nl_33_256","Na",860,267109,0,0,0
431,430,/data/contracts,"Inode_root_values","Nl_0_32","Na",1,75,0,2,21
442,438,/data/big_maps/*/*/*,"Inode_nonroot_tree","Nl_257_2048","Na",195,57345,0,0,0
437,434,/data/contracts/*,"Inode_nonroot_values","Nl_16385_plus","Na",11796,2147767,0,31800,1431000
441,439,/data/contracts/*/*/*/*,"Contents","Na","Cs_128_511",274,90777,0,0,0
441,439,/data/big_maps/*/*/*/*/*,"Contents","Na","Cs_128_511",5772,1341756,0,0,0
440,437,/data/votes/*,"Contents","Na","Cs_32_127",1,66,0,0,0
438,437,/data/contracts/*/*/*,"Contents","Na","Cs_32_127",6240,424780,0,0,0
430,429,/data/contracts/*/*/*,"Inode_root_values","Nl_0_32","Na",2724,206696,0,6736,47992
442,439,/data/rolls/*/*/*/*,"Inode_nonroot_values","Multiple","Na",189,16160,0,630,3684
444,442,/data/votes/*/*,"Inode_nonroot_values","Nl_257_2048","Na",31,5346,316,17,697
439,431,/data/rolls/*/*/*/*,"Inode_nonroot_values","Multiple","Na",82,7098,0,278,1644
442,435,/data/cycle/*/*,"Contents","Na","Cs_32_127",1,66,0,0,0
442,439,/data/big_maps/*/*/*,"Inode_nonroot_tree","Nl_16385_plus","Na",2963,860093,0,0,0
444,441,/data/contracts/*,"Inode_nonroot_values","Nl_16385_plus","Na",14870,2765081,0,41146,1851570
439,437,/data/big_maps/*/*/*,"Inode_root_values","Nl_0_32","Na",1627,433883,7428,3940,256100
441,428,/data/commitments,"Inode_nonroot_values","Nl_2049_16384","Na",968,259256,0,4472,183352
440,428,/data/delegates/*,"Inode_nonroot_tree","Nl_2049_16384","Na",14,4616,0,0,0
433,432,/data/big_maps/*/*/*,"Inode_root_tree","Nl_257_2048","Na",347,124920,0,0,0
445,444,/data/rolls/*/*/*/*,"Inode_nonroot_tree","Multiple","Na",956,320461,0,0,0
443,429,/data/contracts/*/*/*,"Inode_nonroot_values","Nl_257_2048","Na",269,78643,0,1275,57375
438,429,/data/big_maps/*/*/*,"Contents","Na","Cs_0_31",26,1054,0,0,0
430,428,/data/rolls/*/*/*,"Inode_root_values","Nl_0_32","Na",10,473,0,10,23
443,430,/data/big_maps/*/*/*,"Inode_nonroot_values","Nl_2049_16384","Na",1932,378035,5033,3357,218205
445,438,/data/big_maps/*/*/*,"Inode_nonroot_values","Nl_33_256","Na",4339,710749,6279,6518,423670
