parent_cycle_start,entry_area,pages_touched,chunk_count,algo_chunk_count
442,430,77934,96099,96101
436,429,115776,146702,146704
445,431,85786,104820,104827
433,430,120771,161534,161536
435,434,284296,492860,492879
444,429,92854,110915,110917
433,431,160880,223765,223775
443,429,95168,114995,114997
436,431,115956,150771,150780
443,432,97512,125535,125539
442,437,131127,173399,173400
441,432,102022,132208,132212
431,427,435728,727107,727402
443,434,110755,145931,145931
431,430,230988,407557,407579
445,435,125389,169792,169793
438,433,138420,187752,187755
440,434,123197,165175,165175
433,429,138928,182584,182586
441,429,99369,122630,122632
439,427,408786,987432,987709
437,436,317756,546758,546778
430,429,274359,470113,470132
443,442,283665,476421,476442
445,434,105462,137735,137735
443,436,147496,201290,201291
434,431,136375,182389,182399
435,428,102151,132470,132473
439,430,84332,105589,105591
442,427,402913,1021891,1022161
443,440,191820,262824,262840
437,435,204274,292764,292766
439,436,190389,269102,269104
430,428,154802,218963,218968
438,429,107882,135178,135180
444,433,108045,143606,143609
443,433,110983,148064,148067
442,432,99354,128298,128302
436,435,307501,531110,531128
434,429,128144,165304,165306
434,433,295453,518991,519009
440,432,105076,136800,136804
441,430,79803,98873,98875
444,443,319079,528592,528622
443,441,215553,306858,306865
445,443,217279,299277,299290
441,433,116674,156429,156432
432,430,141601,197711,197713
443,439,159617,215437,215441
438,432,114896,151367,151371
440,427,406545,999638,999915
441,439,201740,279580,279586
442,428,83865,103219,103221
441,431,94354,117879,117886
440,439,320082,533251,533273
442,433,113266,151510,151513
443,437,125719,164830,164831
441,427,404597,1011077,1011349
443,427,401470,1028021,1028291
444,434,107535,141142,141142
439,428,89718,113563,113565
438,434,143509,196397,196397
444,439,147959,198739,198743
433,428,113585,150137,150140
444,432,95182,122277,122281
441,428,85819,107717,107719
439,434,131447,177605,177605
445,427,398749,1041964,1042232
445,430,73004,89174,89176
437,430,90722,115261,115263
444,435,127752,173424,173425
431,428,136617,187390,187394
444,430,74317,91259,91261
439,437,169881,235933,235936
445,441,170508,234821,234826
435,433,194286,281738,281741
439,433,128181,172894,172897
442,438,158432,216313,216319
430,427,439950,666453,666750
445,442,161791,219460,219464
445,440,163033,220199,220214
438,427,411739,971586,971863
440,436,171548,238913,238915
440,431,97108,122032,122040
435,431,124412,163535,163545
438,430,87517,110352,110354
438,435,185355,261634,261636
445,433,106299,141130,141133
440,438,203979,285469,285477
432,431,262369,466038,466065
442,431,91927,114266,114273
445,438,134773,181709,181715
432,429,155684,210825,210827
436,434,180106,254796,254797
437,434,154981,214672,214672
440,430,81833,101899,101901
439,429,104249,129772,129774
434,428,106570,139418,139421
436,427,416496,922822,923101
435,430,100742,130312,130314
443,435,131826,179418,179419
444,442,181931,250478,250483
432,428,123059,165079,165082
440,433,121449,163265,163268
436,433,161618,223694,223697
442,429,96839,117329,117331
442,439,173984,236976,236981
436,432,129277,173423,173428
445,429,91399,108583,108585
443,428,82506,101342,101344
442,434,113652,150523,150523
444,431,87485,107841,107848
445,436,139585,189025,189026
429,427,444540,529080,529383
436,430,94916,121530,121532
442,436,152146,208802,208803
439,432,109081,142824,142828
441,436,160048,220976,220977
434,430,108151,141477,141479
441,435,140955,193187,193188
434,427,422083,855122,855405
438,437,265229,453638,453654
439,431,100229,126918,126926
437,431,109121,140585,140593
444,437,120691,157308,157309
439,435,163302,226466,226467
432,427,430911,779535,779826
438,436,226013,332883,332885
433,432,274806,486930,486953
440,428,87691,110524,110526
444,440,173085,235024,235040
441,438,174187,239269,239275
428,427,447414,2,484
445,439,140773,188367,188370
444,428,81226,99423,99425
431,429,182306,258119,258121
429,428,246156,429082,429105
437,427,413939,950739,951017
434,432,167892,233867,233873
444,441,184801,256715,256721
444,427,400066,1036079,1036347
445,437,117570,152191,152192
443,431,90214,111702,111709
435,432,145333,197524,197529
437,429,111320,140237,140239
443,438,148922,202186,202192
438,431,104628,133678,133686
442,440,217666,303563,303580
442,435,135409,185031,185032
440,429,101726,126040,126042
440,437,150454,204002,204005
441,440,328784,546540,546575
437,432,120298,159964,159969
441,437,138713,185221,185223
444,438,139899,189245,189251
442,441,317614,534034,534055
437,433,145806,199180,199183
435,429,121190,154621,154623
438,428,92386,117665,117667
444,436,142509,193701,193702
445,428,80117,97856,97857
445,444,273542,458592,458646
445,432,93596,119716,119720
440,435,149812,206229,206230
441,434,117598,156642,156642
439,438,321561,540341,540365
443,430,76459,93984,93986
433,427,426558,819089,819377
435,427,419351,893928,894207
437,428,95091,121804,121806
436,428,98341,126761,126764
