parent_cycle_start,entry_area,path_prefix,indirect_count,direct_count,direct_bytes
445,430,/data/contracts,513,34763,790845
436,434,/data/delegates,2,12,492
443,428,/data/v1,0,2,21
431,428,/data/delegates_with_frozen_balance,341,3,123
444,432,/data/commitments,0,6,246
444,441,/data/delegates_with_frozen_balance,176,8,328
438,437,/,3,2,62
437,436,/,3,2,62
438,434,/data/delegates,2,12,492
439,433,/data/rolls,0,2645,15641
444,442,/data/votes,352,17,697
442,438,/data/cycle,0,6,72
442,428,/data/contracts,47815,7020416,109797684
442,438,/data/commitments,0,43,1763
437,436,/data/active_delegates_with_rolls,118,9,369
435,434,/data/rolls,0,6743,39788
438,434,/data/cycle,0,4,39
436,432,/data/commitments,0,11,451
441,437,/data/big_maps,139398,692972,39393751
437,432,/data/delegates_with_frozen_balance,113,1,41
436,433,/data/delegates,0,1,41
429,428,/data/votes,374,5,73
437,432,/data/votes,359,9,369
433,429,/data/delegates_with_frozen_balance,100,0,0
438,430,/data/contracts,666,48201,1143694
436,428,/data/delegates_with_frozen_balance,93,0,0
445,444,/data/delegates,3,3,123
444,428,/data/v1,0,2,21
439,435,/data/delegates_with_frozen_balance,107,0,0
444,439,/data/cycle,0,3,36
443,431,/data/commitments,0,27,1107
440,432,/data/commitments,0,6,246
443,442,/data,1,17,231
433,430,/data/delegates,0,4,164
443,428,/data/votes,7,0,0
440,438,/data/rolls,0,6756,39648
443,441,/data/big_maps,260912,1615499,94908976
442,428,/data/big_maps,3556422,6582577,242382040
438,429,/data/contracts,948,71441,1709453
435,431,/data/big_maps,152586,640218,35058907
442,431,/data/cycle,0,1,3
430,429,/data/commitments,0,42,1722
445,431,/data/big_maps,121046,268701,11482248
441,428,/data/contracts,48054,7049775,110778390
435,433,/data/delegates_with_frozen_balance,151,0,0
434,431,/data/rolls,0,4965,29415
440,437,/data/delegates_with_frozen_balance,156,3,123
434,429,/data/rolls,0,8861,52190
445,428,/data/v1,0,2,21
442,436,/data/big_maps,191565,716011,37420133
442,429,/data/delegates,1,4,164
439,438,/data/rolls,0,9279,54446
432,429,/data/commitments,0,42,1722
443,439,/data/contracts,1065,85647,2102352
443,433,/data/delegates,0,1,41
435,432,/data/cycle,0,3,36
439,436,/data/cycle,0,6,72
434,430,/data/active_delegates_with_rolls,25,2,82
433,428,/data/commitments,0,4637,190117
430,428,/data/cache,0,2,8
440,437,/data/delegates,1,1,41
444,440,/data/delegates_with_frozen_balance,177,8,328
443,432,/data/delegates,0,2,82
437,428,/data/big_maps,3634028,7647536,308809443
435,434,/data/commitments,0,15,615
430,429,/data/rolls,0,25223,148197
433,428,/data/sapling,115,419,2618
433,432,/,3,2,62
443,439,/data/delegates,0,6,246
441,439,/data/delegates,0,6,246
431,430,/data/delegates,3,4,164
435,431,/data/delegates,1,7,287
434,432,/data/cycle,0,3,36
445,439,/data/rolls,0,5165,30465
437,435,/data/cycle,0,6,72
434,430,/data/delegates_with_frozen_balance,119,1,41
433,429,/data/cycle,0,3,36
444,440,/data/rolls,0,3130,18433
431,428,/data/delegates,370,2195,89995
445,434,/data/delegates,2,12,492
435,430,/data/active_delegates_with_rolls,13,1,41
433,428,/data/contracts,49333,7331021,119705996
443,429,/data/rolls,0,8036,47304
438,437,/data/commitments,0,6,246
440,436,/data/cycle,0,6,72
438,432,/data/rolls,0,9639,56847
435,429,/data/active_delegates_with_rolls,28,1,41
439,431,/data/active_delegates_with_rolls,3,0,0
437,435,/data/delegates_with_frozen_balance,107,0,0
438,437,/data/cycle,0,151,1191
441,439,/data/delegates_with_frozen_balance,169,6,246
441,439,/data/contracts,1653,117942,2957468
437,433,/data/big_maps,260875,809654,41250731
444,434,/data/cycle,0,1,3
443,432,/data/rolls,0,9087,53594
441,430,/data/big_maps,108392,268696,12155651
435,430,/data/delegates,0,4,164
429,428,/data/sapling,115,419,2618
436,428,/data/cache,0,2,8
429,428,/data/v1,0,2,21
436,435,/data/contracts,6777,833739,19432704
435,428,/data/delegates,361,2168,88888
437,428,/data/delegates_with_frozen_balance,102,0,0
430,428,/data/active_delegates_with_rolls,62,0,0
443,434,/data/delegates,2,12,492
435,434,/data/big_maps,344931,2260165,136824634
434,433,/data/delegates_with_frozen_balance,224,6,24
445,428,/data/active_delegates_with_rolls,76,0,0
435,431,/data/cycle,0,4,39
432,431,/data,1,17,231
444,434,/data/delegates,2,12,492
444,440,/data/cycle,0,6,72
444,441,/data/big_maps,224170,1168795,66645785
440,433,/data/commitments,0,14,574
436,433,/data/commitments,0,14,574
432,429,/data/contracts,1305,105177,2610826
443,434,/data/big_maps,142172,437036,21569089
438,436,/data/big_maps,261477,1723860,101881368
432,430,/data/contracts,1210,84551,2085106
437,435,/data/rolls,0,3744,22107
442,437,/data/big_maps,131538,602610,33677415
440,428,/data/active_delegates_with_rolls,15,0,0
437,433,/data/commitments,0,14,574
439,431,/data/rolls,0,4772,28266
433,428,/data/v1,0,2,21
441,432,/data/contracts,687,46542,1101301
445,437,/data/rolls,0,12017,70747
443,429,/data/contracts,853,58070,1349757
434,429,/data/delegates_with_frozen_balance,100,0,0
440,429,/data/rolls,0,8680,51079
436,430,/data/commitments,0,9,369
440,439,/data/rolls,0,10272,60489
445,442,/data/big_maps,187248,1038712,60515247
443,434,/data/rolls,0,3912,23128
439,438,/data/big_maps,422746,2741098,165985352
433,430,/data/active_delegates_with_rolls,25,2,82
437,428,/data/contracts,48630,7172793,114779936
429,428,/data/cache,0,2,8
445,444,/data/active_delegates_with_rolls,56,6,246
442,435,/data/big_maps,199320,631930,31073385
433,428,/data/cycle,0,45,310
442,437,/data/votes,352,12,492
438,433,/data/cycle,0,3,36
443,442,/data/big_maps,363649,2371057,143518770
436,428,/data/commitments,0,4580,187780
445,433,/data/big_maps,228710,431919,17334989
442,431,/data/commitments,0,32,1312
444,442,/data/active_delegates_with_rolls,72,8,328
442,436,/data/rolls,0,3814,22482
434,430,/data/contracts,829,62171,1514979
432,428,/data/cache,0,2,8
444,430,/data/delegates,0,4,164
443,437,/data/contracts,998,73957,1760577
441,434,/data/active_delegates_with_rolls,12,1,41
437,432,/data/rolls,0,9674,57067
444,428,/data/active_delegates_with_rolls,56,0,0
444,443,/data/commitments,0,10,410
439,428,/data/delegates_with_frozen_balance,76,0,0
436,431,/data/active_delegates_with_rolls,3,0,0
445,435,/data/rolls,0,2193,12926
435,432,/data/contracts,1027,73292,1799876
429,428,/data/big_maps,4077349,12455397,612251443
442,435,/data/rolls,0,3281,19375
440,430,/data/contracts,610,43715,1017552
445,436,/data/contracts,757,73811,1736199
443,441,/data/delegates,2,24,984
439,432,/data/rolls,0,9452,55749
445,434,/data/big_maps,138819,396154,18987694
444,442,/data/big_maps,217276,1368045,81344904
445,440,/data/delegates,1,3,123
443,432,/data/contracts,641,43063,1004854
442,430,/data/commitments,0,9,369
435,429,/data/cycle,0,3,36
442,428,/data/votes,7,0,0
437,428,/data/votes,7,0,0
439,428,multiple,199,0,0
445,439,/data/delegates,0,6,246
438,435,/data/delegates,7,28,1148
437,428,/data/sapling,115,419,2618
443,438,/data/commitments,0,43,1763
439,437,/data/big_maps,180895,1132823,67343305
438,430,/data/commitments,0,9,369
432,429,/data/big_maps,189488,859534,47886332
443,433,/data/rolls,0,2441,14437
431,430,/data/contracts,6826,785401,18131558
444,442,/data/commitments,0,7,287
439,428,/data/v1,0,2,21
438,430,/data/rolls,0,2914,17264
433,429,/data/commitments,0,42,1722
445,429,/data/big_maps,130027,259931,10143220
440,430,/data/big_maps,109875,285581,13217119
444,428,/data/votes,7,0,0
441,438,/data/contracts,1232,110278,2767243
438,431,/data/big_maps,135046,418751,20960045
438,434,/data/contracts,829,74625,1816883
436,432,/data/votes,359,9,369
429,428,/data,1,17,231
444,438,/data/delegates,1,10,410
436,430,/data/contracts,716,52993,1281606
435,428,/data/sapling,115,419,2618
437,436,/data,1,17,231
444,428,/data/cycle,0,27,95
435,434,/data/cycle,0,149,1158
441,436,/data/contracts,891,92070,2211425
445,433,/data/delegates,0,1,41
438,428,/data/big_maps,3615928,7374686,291662252
433,431,/data/contracts,1494,103046,2563604
439,429,/data/delegates,1,4,164
435,434,/data,1,17,231
443,436,/data/rolls,0,3728,21972
431,428,/data/votes,374,0,0
444,443,/data/votes,85,10,294
435,429,/data/delegates,1,4,164
437,429,/data/commitments,0,42,1722
441,429,/data/delegates,1,4,164
444,428,/data/delegates_with_frozen_balance,95,0,0
441,428,/data/cache,0,2,8
441,428,/data/big_maps,3572642,6736184,251627185
440,429,/data/delegates,1,4,164
440,432,/data/big_maps,215183,438092,17618329
431,428,/data/big_maps,3808907,10124785,465450829
445,438,/data/big_maps,188890,597030,30792797
442,441,/data/cycle,0,151,1191
443,439,/data/big_maps,226658,867414,47708906
442,440,/data/rolls,0,4372,25761
445,434,/data/rolls,0,2899,17105
435,433,/data/contracts,1375,95201,2324395
442,428,/data/rolls,0,234804,1733711
444,429,/data/delegates,1,4,164
441,433,/data/delegates,0,1,41
431,428,multiple,232,0,0
440,435,/data/rolls,0,3377,19940
439,438,/data/votes,77,8,139
434,429,/data/delegates,1,4,164
444,443,/data/rolls,0,16385,96281
437,436,/data/rolls,0,6686,39340
436,428,/data/delegates,360,2158,88478
432,428,/data/contracts,49672,7374279,120950551
444,442,/data/delegates_with_frozen_balance,175,8,328
436,434,/data/commitments,0,15,615
445,442,/data/active_delegates_with_rolls,52,5,205
441,428,/data/delegates,353,2136,87576
429,428,/data/cycle,0,204,1579
434,428,/data/votes,7,0,0
443,430,/data/rolls,0,2321,13769
432,431,/data/votes,8,8,164
445,428,/data/commitments,0,4436,181876
442,433,/data/big_maps,233720,483828,20594040
440,431,/data/cycle,0,1,3
440,430,/data/commitments,0,9,369
441,440,/data/votes,70,10,221
436,431,/data/cycle,0,4,39
441,435,/data/cycle,0,3,36
439,437,/data/delegates,1,1,41
442,437,/data/rolls,0,12846,75652
441,439,/data/cycle,0,6,72
440,438,/data/votes,18,0,0
441,433,/data/rolls,0,2563,15155
430,428,/data/v1,0,2,21
445,444,/data/rolls,0,14009,82870
437,433,/data/contracts,929,65385,1578687
444,435,/data/rolls,0,2222,13100
431,428,/data/active_delegates_with_rolls,62,0,0
434,428,/data/commitments,0,4619,189379
445,443,/data/votes,24,0,0
436,432,/data/cycle,0,3,36
443,437,/data/delegates,1,1,41
444,431,/data/active_delegates_with_rolls,3,0,0
443,428,multiple,139,0,0
443,432,/data/commitments,0,6,246
443,435,/data/contracts,585,64266,1547524
441,436,/data/delegates_with_frozen_balance,102,0,0
